CustomerID,Recency,Frequency,Monetary,AvgBasketValue,DistinctProducts,TotalItems,TenureDays,CancellationRate,PrimaryCountry
12401,303,1,84.3,84.3,5,11,0,0.0,Belgium
12402,323,1,225.6,225.6,11,94,0,0.0,Belgium
12403,50,2,409.7,204.85,5,95,0,0.16666666666666666,Denmark
12405,149,1,1710.39,1710.39,54,857,0,0.0,Finland
12406,22,3,3280.75,1093.5833333333333,92,1809,161,0.027777777777777776,Denmark
12407,50,5,1708.1200000000001,341.624,57,1416,214,0.0,Belgium
12408,33,9,2842.57,315.8411111111111,81,1399,227,0.07079646017699115,Belgium
12409,79,7,11056.93,1579.5614285714287,91,5543,103,0.043859649122807015,Switzerland
12410,301,3,681.0799999999999,227.02666666666664,26,209,7,0.07142857142857142,Switzerland
12412,75,3,1226.88,408.96000000000004,43,829,94,0.0,Denmark
12413,67,5,694.15,138.82999999999998,29,282,270,0.05,France
12414,217,3,562.41,187.47,16,300,93,0.0,Austria
12415,24,26,123725.45,4758.671153846154,444,76946,313,0.07989690721649484,Australia
12417,3,12,3578.8,298.23333333333335,158,1539,354,0.030303030303030304,Belgium
12418,113,1,668.58,668.58,34,407,0,0.0,Switzerland
12420,64,1,600.39,600.39,29,345,0,0.0,Cyprus
12421,16,5,806.27,161.254,33,483,303,0.021739130434782608,Spain
12422,96,3,803.5600000000001,267.85333333333335,39,370,229,0.0,Australia
12423,1,9,1849.11,205.45666666666665,97,1327,352,0.007936507936507936,Belgium
12424,163,2,1760.96,880.48,30,740,0,0.0,Australia
12425,78,1,777.2,777.2,36,496,0,0.0,Portugal
12426,195,1,582.73,582.73,30,258,0,0.0,Germany
12427,12,5,708.37,141.674,26,236,360,0.11428571428571428,Germany
12428,26,12,7877.2,656.4333333333333,258,3503,257,0.02,Finland
12429,9,4,3750.4,937.6,82,1557,356,0.0,Denmark
12430,43,1,256.4,256.4,11,117,0,0.0,Norway
12431,36,18,6416.39,356.4661111111111,163,2856,338,0.016736401673640166,Australia
12432,43,5,5059.32,1011.8639999999999,107,1801,129,0.0,Norway
12433,1,7,13375.87,1910.8385714285716,219,11071,372,0.0,Norway
12434,85,4,765.19,191.2975,49,373,276,0.07407407407407407,Australia
12435,80,2,7829.89,3914.945,31,2055,188,0.0,Denmark
12436,100,1,509.01,509.01,16,211,0,0.0,Norway
12437,2,19,4896.66,257.718947368421,118,2917,329,0.005,France
12438,14,2,2906.85,1453.425,84,1180,125,0.0,Norway
12441,367,1,173.55,173.55,11,121,0,0.0,France
12442,3,1,172.06,172.06,12,182,0,0.0,Spain
12444,21,5,5005.46,1001.092,138,1153,149,0.0,Norway
12445,22,1,133.4,133.4,4,62,0,0.0,Spain
12446,58,1,1002.3100000000001,1002.3100000000001,57,351,0,0.0,RSA
12447,243,1,476.49,476.49,26,190,0,0.0,Belgium
12448,44,1,449.45,449.45,22,243,0,0.0,Spain
12449,22,4,4067.29,1016.8225,118,1553,164,0.0,Belgium
12450,156,2,197.88,98.94,7,128,17,0.0,Spain
12451,11,6,8933.52,1488.92,265,6455,313,0.0028169014084507044,Switzerland
12452,17,3,428.57,142.85666666666665,21,183,0,0.043478260869565216,Switzerland
12453,134,1,707.09,707.09,43,473,0,0.0,Austria
12454,53,2,0.01,0.01,15,0,2,0.5,Spain
12455,73,6,2466.86,411.1433333333334,85,2089,223,0.0,Spain
12456,44,4,3153.89,788.4725,105,1616,210,0.031007751937984496,Switzerland
12457,58,12,1917.78,159.815,53,694,180,0.07462686567164178,Switzerland
12458,71,2,947.4,473.7,35,506,213,0.0,Switzerland
12461,94,2,826.88,413.44,35,287,60,0.0,Switzerland
12462,2,4,1124.01,281.0025,51,514,300,0.1388888888888889,Spain
12463,46,7,1303.63,186.23285714285717,66,757,195,0.056818181818181816,Belgium
12464,10,8,1212.05,151.50625,6,112,299,0.0,Belgium
12465,8,3,733.89,244.63,46,475,161,0.0784313725490196,Belgium
12468,143,3,724.0400000000001,241.3466666666667,36,364,173,0.05,Germany
12471,2,49,18740.92,382.46775510204077,152,7965,370,0.1337099811676083,Germany
12472,31,13,6229.48,479.1907692307692,226,4020,342,0.1329923273657289,Germany
12473,29,9,2848.23,316.47,140,2363,162,0.061452513966480445,Germany
12474,17,30,7116.47,237.21566666666666,253,4764,351,0.07221006564551423,Germany
12475,54,1,723.38,723.38,36,535,0,0.0,Germany
12476,1,20,6546.58,327.329,177,2337,359,0.11742424242424243,Germany
12477,23,9,13117.01,1457.4455555555555,192,3620,288,0.025974025974025976,Germany
12478,4,1,680.99,680.99,36,236,0,0.0,Greece
12479,4,3,477.3,159.1,31,351,7,0.11428571428571428,Germany
12480,28,4,3281.63,820.4075,129,1707,307,0.0,Germany
12481,23,11,5590.86,508.26,150,3290,342,0.0045871559633027525,Germany
12483,17,13,2327.13,179.01000000000002,46,1097,322,0.07407407407407407,Sweden
12484,33,8,4495.27,561.90875,256,2185,303,0.011428571428571429,Spain
12488,10,3,1298.66,432.8866666666667,46,529,65,0.0,France
12489,336,1,334.93,334.93,15,105,0,0.0,France
12490,5,10,5417.93,541.793,131,3064,324,0.0,France
12491,39,1,460.40000000000003,460.40000000000003,25,260,0,0.0,France
12492,63,2,263.21000000000004,131.60500000000002,19,192,42,0.0,Germany
12493,166,3,416.79,138.93,20,206,31,0.043478260869565216,France
12494,10,13,1139.3500000000001,87.6423076923077,63,690,355,0.08333333333333333,France
12497,82,1,1043.1,1043.1,14,1236,0,0.0,Germany
12498,21,3,403.70000000000005,134.5666666666667,21,159,36,0.0,Germany
12500,23,13,4206.27,323.5592307692308,34,2671,310,0.06153846153846154,Germany
12501,315,2,2089.68,1044.84,149,1722,21,0.06875,Germany
12502,96,5,3723.87,744.774,102,820,214,0.0,Spain
12503,338,1,0.01,0.01,1,-1,0,1.0,Spain
12504,18,4,114.0,28.5,6,51,12,0.4,Germany
12505,301,1,0.01,0.01,1,-1,0,1.0,Italy
12506,233,1,73.5,73.5,23,23,0,0.0,France
12507,134,4,1258.06,314.515,19,883,164,0.045454545454545456,Spain
12508,26,2,398.27,199.135,57,272,2,0.0,France
12509,284,1,176.5,176.5,7,55,0,0.0,France
12510,143,2,982.5699999999999,491.28499999999997,29,353,182,0.0,Spain
12512,66,2,138.03,69.015,31,99,0,0.0,Israel
12513,85,2,586.79,293.395,35,456,28,0.027777777777777776,France
12514,267,1,1017.68,1017.68,51,440,0,0.0,Italy
12515,353,1,383.7,383.7,16,131,0,0.0,Italy
12516,78,2,1312.06,656.03,20,875,102,0.0,Germany
12517,28,6,2464.89,410.815,232,1348,161,0.006993006993006993,Germany
12518,1,5,2056.89,411.378,84,1318,109,0.0,Germany
12519,64,1,340.84,340.84,17,183,0,0.0,Germany
12520,79,6,2582.51,430.41833333333335,121,1430,194,0.01935483870967742,Germany
12521,143,1,599.68,599.68,38,309,0,0.0,Germany
12522,39,2,192.72,96.36,11,194,12,0.0,Germany
12523,2,13,1745.57,134.27461538461537,84,861,330,0.03636363636363636,France
12524,9,8,4485.72,560.715,113,3699,324,0.0,Germany
12526,1,3,1316.66,438.8866666666667,64,632,93,0.0,Germany
12527,82,3,348.71000000000004,116.23666666666668,18,234,243,0.0,Germany
12528,9,8,1922.28,240.285,50,750,303,0.031578947368421054,Germany
12530,60,5,1623.63,324.726,51,900,277,0.029411764705882353,Germany
12531,15,1,125.22,125.22,17,45,0,0.0,Germany
12532,30,1,349.83000000000004,349.83000000000004,16,153,0,0.0,France
12534,131,1,1089.18,1089.18,63,651,0,0.0,Germany
12535,92,2,716.35,358.175,28,219,94,0.0,France
12536,8,5,4106.82,821.3639999999999,260,2652,51,0.04395604395604396,France
12538,29,1,363.95,363.95,21,191,0,0.0,Spain
12539,22,5,3852.5,770.5,158,2066,311,0.0036496350364963502,Spain
12540,20,19,13309.039999999999,700.4757894736841,278,6677,342,0.006237006237006237,Spain
12541,30,3,981.18,327.06,46,680,251,0.0,Spain
12544,30,2,355.7,177.85,19,132,6,0.05,Spain
12545,75,2,1000.39,500.195,42,523,184,0.0,Spain
12546,47,3,1141.5,380.5,59,617,31,0.014285714285714285,Spain
12547,198,2,207.79999999999998,103.89999999999999,7,134,82,0.0,Spain
12548,166,1,95.19999999999999,95.19999999999999,5,49,0,0.0,Spain
12550,79,1,964.83,964.83,57,569,0,0.0,Spain
12551,358,1,168.0,168.0,10,100,0,0.0,Spain
12552,39,2,437.82,218.91,20,88,0,0.0,Italy
12553,8,14,3652.25,260.875,95,1924,321,0.025510204081632654,France
12556,50,2,603.71,301.855,100,358,100,0.0,Spain
12557,16,5,11990.960000000001,2398.192,15,4384,355,0.0,Spain
12558,2,2,0.01,0.01,11,0,5,0.5,USA
12559,311,3,536.21,178.73666666666668,21,281,8,0.045454545454545456,Germany
12560,5,4,2101.39,525.3475,92,1078,137,0.05405405405405406,Germany
12561,303,1,238.85,238.85,16,177,0,0.0,Germany
12562,8,7,3781.7400000000002,540.2485714285715,99,1779,190,0.0,France
12564,261,1,456.9,456.9,21,133,0,0.0,France
12565,282,2,131.17,65.585,9,75,7,0.1,Saudi Arabia
12566,73,2,346.7,173.35,19,264,13,0.05,Germany
12567,23,11,9114.94,828.6309090909091,323,4089,346,0.0367170626349892,France
12569,2,35,4064.9900000000002,116.14257142857143,92,1793,250,0.015706806282722512,Germany
12571,40,2,519.61,259.805,31,523,81,0.0,France
12572,9,3,1004.72,334.9066666666667,53,450,43,0.03225806451612903,Germany
12573,227,1,160.54000000000002,160.54000000000002,26,84,0,0.0,France
12574,316,1,218.45,218.45,11,61,0,0.0,France
12576,36,6,1306.98,217.83,72,964,268,0.011235955056179775,Poland
12577,35,4,595.4,148.85,137,466,323,0.006756756756756757,France
12578,21,4,2753.36,688.34,112,1171,317,0.05,Italy
12579,73,3,410.72,136.90666666666667,29,278,4,0.06451612903225806,France
12580,247,1,415.7,415.7,24,238,0,0.0,Germany
12581,40,1,197.71,197.71,15,161,0,0.0,Germany
12582,239,2,511.36,255.68,21,300,49,0.0,Finland
12583,3,18,7187.34,399.2966666666667,115,5009,370,0.01593625498007968,France
12584,4,18,1893.95,105.21944444444445,44,354,276,0.23809523809523808,Italy
12585,234,4,1982.81,495.7025,77,1258,117,0.10309278350515463,Germany
12586,17,2,179.94000000000003,89.97000000000001,12,77,351,0.08333333333333333,Italy
12587,8,1,144.0,144.0,4,51,0,0.0,Finland
12588,39,1,214.89999999999998,214.89999999999998,10,53,0,0.0,Finland
12589,29,2,646.68,323.34,29,306,115,0.0,France
12590,190,3,9861.38,3287.1266666666666,68,4279,20,0.02857142857142857,Germany
12591,317,1,452.84999999999997,452.84999999999997,26,228,0,0.0,Italy
12592,92,2,437.6,218.8,11,290,121,0.0,Germany
12593,109,3,418.09999999999997,139.36666666666665,14,206,110,0.0,France
12594,38,11,3320.2200000000003,301.83818181818185,50,1776,285,0.008403361344537815,Italy
12596,51,2,618.27,309.135,25,474,190,0.0,Spain
12597,19,5,3683.13,736.626,184,2187,248,0.037383177570093455,Spain
12598,10,9,3002.68,333.63111111111107,84,1940,275,0.007518796992481203,France
12599,29,7,1032.58,147.51142857142855,32,956,275,0.0,France
12600,29,11,2581.04,234.64,32,773,342,0.015384615384615385,Germany
12601,190,6,569.5600000000001,94.92666666666668,21,244,142,0.034482758620689655,Germany
12602,59,1,153.12,153.12,12,162,0,0.0,France
12603,22,1,739.1999999999999,739.1999999999999,2,63,0,0.0,Germany
12604,79,2,254.18,127.09,15,201,182,0.0,France
12605,365,1,0.01,0.01,3,-4,0,1.0,Germany
12607,58,2,0.01,0.01,101,0,2,0.5,USA
12609,78,3,1126.85,375.6166666666666,57,648,240,0.0,Germany
12610,23,7,2057.99,293.9985714285714,85,1028,103,0.04504504504504504,Italy
12611,52,1,1193.32,1193.32,65,846,0,0.0,Italy
12612,58,2,643.59,321.795,19,251,16,0.09523809523809523,Germany
12613,31,6,3218.98,536.4966666666667,124,1596,230,0.06134969325153374,Germany
12614,278,1,315.6,315.6,20,76,0,0.0,Germany
12615,2,4,2291.19,572.7975,82,1376,166,0.0,France
12616,85,5,657.25,131.45,25,273,212,0.1111111111111111,France
12617,29,1,355.53,355.53,39,213,0,0.0,France
12618,22,1,177.31,177.31,11,96,0,0.0,Italy
12619,16,13,3214.81,247.2930769230769,50,3354,237,0.05263157894736842,Germany
12620,15,3,1339.41,446.47,89,1181,189,0.0,France
12621,2,23,13612.07,591.8291304347825,261,7404,364,0.014767932489451477,Germany
12622,232,1,180.1,180.1,11,69,0,0.0,Germany
12623,276,1,305.1,305.1,18,191,0,0.0,Germany
12624,106,2,641.13,320.565,36,355,71,0.0,France
12625,212,3,2614.32,871.44,74,1577,107,0.054945054945054944,Germany
12626,23,13,6388.35,491.4115384615385,232,3350,303,0.04234527687296417,Germany
12627,11,7,4478.53,639.79,162,2752,129,0.0,Germany
12628,4,4,769.61,192.4025,34,445,60,0.046511627906976744,Germany
12630,10,2,1270.88,635.44,60,548,34,0.0,Finland
12631,57,1,640.5,640.5,31,236,0,0.0,Finland
12633,59,5,2140.63,428.12600000000003,73,1149,229,0.019417475728155338,Germany
12635,90,2,1689.18,844.59,96,1172,65,0.0,Germany
12637,67,10,5953.25,595.325,205,2990,256,0.01015228426395939,France
12638,33,1,671.69,671.69,39,577,0,0.0,Sweden
12639,239,1,486.1,486.1,22,201,0,0.0,Sweden
12640,24,3,1174.58,391.52666666666664,47,311,57,0.0,France
12641,115,1,185.9,185.9,10,72,0,0.0,Sweden
12642,25,3,1013.26,337.75333333333333,39,552,82,0.0,Germany
12643,128,6,3344.64,557.4399999999999,11,1808,204,0.0,France
12644,130,1,477.91,477.91,31,325,0,0.0,Germany
12645,34,5,1755.38,351.076,58,1072,282,0.013513513513513514,Germany
12646,5,2,1346.97,673.485,43,897,44,0.0,USA
12647,22,13,3669.92,282.3015384615385,78,1419,346,0.047244094488188976,Germany
12648,155,1,318.05,318.05,21,160,0,0.0,Germany
12649,107,4,603.71,150.9275,30,574,257,0.06060606060606061,Germany
12650,3,1,314.44,314.44,20,254,0,0.0,France
12651,335,1,114.0,114.0,9,78,0,0.0,France
12652,322,2,914.53,457.265,48,502,9,0.058823529411764705,France
12653,149,2,2209.85,1104.925,37,919,147,0.0,Israel
12654,11,5,601.98,120.396,31,264,284,0.0,Germany
12656,17,8,3982.72,497.84,89,1708,225,0.03076923076923077,France
12657,11,5,1152.06,230.41199999999998,35,654,67,0.16071428571428573,France
12658,19,1,686.05,686.05,36,320,0,0.0,Germany
12659,30,1,91.68,91.68,5,105,0,0.0,France
12660,11,1,245.1,245.1,13,127,0,0.0,France
12662,1,12,3817.08,318.09,129,2040,372,0.008620689655172414,Germany
12664,8,10,4863.88,486.38800000000003,10,1202,314,0.02631578947368421,Finland
12665,325,2,61.75,30.875,3,36,6,0.25,Germany
12666,359,1,0.01,0.01,2,-56,0,1.0,Israel
12667,58,1,620.13,620.13,33,395,0,0.0,Finland
12668,7,6,3743.18,623.8633333333333,115,1595,348,0.041666666666666664,Germany
12669,151,4,1607.73,401.9325,98,1114,105,0.00980392156862745,France
12670,10,6,2986.15,497.69166666666666,58,1391,222,0.02127659574468085,France
12672,330,1,225.89999999999998,225.89999999999998,10,78,0,0.0,France
12673,5,2,610.52,305.26,42,351,321,0.0,Germany
12674,12,7,1919.31,274.1871428571429,52,1102,196,0.08791208791208792,France
12676,25,6,1331.39,221.89833333333334,33,670,286,0.0,Sweden
12678,42,13,17588.26,1352.943076923077,105,10899,311,0.011976047904191617,France
12679,52,9,1058.67,117.63000000000001,45,530,231,0.14285714285714285,France
12680,1,4,862.81,215.7025,33,443,112,0.0,France
12681,15,27,13677.59,506.5774074074074,267,7518,353,0.01238390092879257,France
12682,4,31,12288.22,396.3941935483871,209,5575,367,0.0,France
12683,4,20,8221.09,411.0545,177,4903,361,0.049723756906077346,France
12684,8,7,2283.63,326.23285714285714,61,1985,205,0.0,France
12685,28,6,2863.08,477.18,117,1523,65,0.0,France
12686,372,1,89.14,89.14,7,107,0,0.0,France
12688,114,1,4873.8099999999995,4873.8099999999995,171,3028,0,0.0,Israel
12689,26,2,1247.61,623.805,57,628,101,0.0,France
12690,206,1,389.01,389.01,16,106,0,0.0,France
12691,28,6,1035.8,172.63333333333333,21,394,329,0.0,France
12693,121,6,830.96,138.49333333333334,35,250,198,0.04878048780487805,Germany
12694,70,2,869.67,434.835,32,509,112,0.0,France
12695,7,4,582.1,145.525,23,220,203,0.0,France
12697,21,5,939.02,187.804,37,499,148,0.046511627906976744,Sweden
12700,8,6,4867.99,811.3316666666666,193,2963,207,0.007407407407407408,France
12701,80,2,797.71,398.855,50,678,162,0.0,Germany
12702,20,1,219.0,219.0,12,53,0,0.0,Germany
12703,64,2,274.7,137.35,21,161,7,0.045454545454545456,Germany
12704,7,10,2220.84,222.084,64,1003,162,0.022222222222222223,Finland
12705,15,14,6814.24,486.7314285714286,228,3973,341,0.040229885057471264,Germany
12707,292,1,603.42,603.42,33,256,0,0.0,France
12708,30,16,2616.32,163.52,86,1270,338,0.09770114942528736,Germany
12709,3,26,9294.1,357.4653846153846,103,3832,363,0.19066147859922178,Germany
12710,97,4,1130.57,282.6425,75,849,104,0.02531645569620253,Germany
12712,23,17,4241.63,249.50764705882352,59,1044,348,0.06338028169014084,Germany
12713,1,1,848.55,848.55,38,508,0,0.0,Germany
12714,9,5,4708.86,941.7719999999999,216,3069,285,0.0,France
12715,106,1,353.86,353.86,20,197,0,0.0,Sweden
12716,4,2,1053.49,526.745,60,708,129,0.0,France
12717,151,3,980.98,326.99333333333334,49,505,94,0.017857142857142856,Greece
12718,71,1,238.25,238.25,19,203,0,0.0,France
12719,5,3,608.1,202.70000000000002,34,361,59,0.07142857142857142,France
12720,3,29,5713.28,197.00965517241377,211,4654,366,0.013927576601671309,Germany
12721,32,7,2628.98,375.56857142857143,134,1954,334,0.018292682926829267,France
12722,85,6,904.33,150.72166666666666,50,560,65,0.07017543859649122,France
12723,4,5,725.07,145.014,53,434,61,0.0,France
12724,5,4,1031.41,257.8525,47,445,327,0.0,France
12725,371,1,427.8,427.8,24,164,0,0.0,Italy
12726,28,7,2609.1,372.7285714285714,57,3143,329,0.0,France
12727,11,9,3947.7,438.6333333333333,109,2085,309,0.014184397163120567,France
12728,71,4,836.33,209.0825,38,419,261,0.0,France
12729,114,1,453.01,453.01,26,233,0,0.0,France
12731,24,14,18793.41,1342.3864285714285,109,8366,341,0.010830324909747292,France
12732,180,1,236.26000000000002,236.26000000000002,12,111,0,0.0,France
12733,234,1,383.95,383.95,22,137,0,0.0,USA
12734,353,1,110.39999999999999,110.39999999999999,4,88,0,0.0,France
12735,315,2,779.5699999999999,389.78499999999997,38,368,21,0.0,France
12736,333,1,234.0,234.0,4,173,0,0.0,France
12738,372,1,155.35,155.35,11,148,0,0.0,Germany
12739,78,2,1013.04,506.52,38,486,20,0.0,United Arab Emirates
12740,64,1,427.6,427.6,27,342,0,0.0,France
12743,134,2,546.43,273.215,114,319,0,0.0,Unspecified
12744,52,10,9120.39,912.039,178,5234,266,0.03056768558951965,Singapore
12747,2,11,4196.01,381.4554545454546,42,1275,366,0.0,United Kingdom
12748,1,223,29072.1,130.36816143497757,1769,24209,372,0.0099116569704805,United Kingdom
12749,4,8,3868.2,483.525,160,1422,209,0.13852813852813853,United Kingdom
12750,129,1,275.88,275.88,15,137,0,0.0,Poland
12752,81,1,4366.78,4366.78,53,2262,0,0.0,Norway
12753,4,11,21024.01,1911.2736363636361,132,11250,358,0.14347826086956522,Japan
12754,236,5,2949.12,589.824,50,6479,72,0.03076923076923077,Japan
12755,250,4,2203.2,550.8,5,866,115,0.3333333333333333,Japan
12756,87,1,112.07999999999998,112.07999999999998,4,144,0,0.0,Japan
12757,16,19,4227.7,222.51052631578946,237,2385,195,0.015915119363395226,Portugal
12758,117,2,2791.59,1395.795,84,2135,159,0.0,Portugal
12759,52,3,1531.44,510.48,81,902,223,0.0,Netherlands
12762,8,2,1898.52,949.26,62,1227,17,0.0,Portugal
12763,138,2,494.08,247.04,16,316,230,0.0,Japan
12764,317,1,1693.88,1693.88,45,386,0,0.0,Lebanon
12766,4,7,6989.63,998.5185714285715,205,3646,362,0.0,Portugal
12769,239,1,1143.6,1143.6,32,356,0,0.0,Brazil
12770,211,1,1351.45,1351.45,12,743,0,0.0,Japan
12772,60,1,892.47,892.47,55,556,0,0.0,Portugal
12775,17,6,1351.24,225.20666666666668,47,853,294,0.014925373134328358,Netherlands
12778,20,7,804.23,114.89,40,824,292,0.0196078431372549,Netherlands
12779,21,12,3868.7,322.39166666666665,88,1996,350,0.06289308176100629,Poland
12781,21,5,707.72,141.544,25,592,263,0.16666666666666666,Czech Republic
12782,5,6,2273.32,378.8866666666667,81,1070,352,0.037383177570093455,Portugal
12783,2,8,1603.87,200.48375,76,622,73,0.023255813953488372,Portugal
12784,9,2,574.42,287.21,54,300,6,0.0,Portugal
12785,3,2,305.71,152.855,14,128,361,0.06666666666666667,Portugal
12787,10,3,463.66,154.55333333333334,17,261,182,0.0,Netherlands
12789,65,1,91.85,91.85,4,4,0,0.0,Netherlands
12790,192,1,324.92,324.92,21,166,0,0.0,Netherlands
12791,374,1,192.60000000000002,192.60000000000002,2,97,0,0.0,Netherlands
12792,257,1,400.53999999999996,400.53999999999996,25,217,0,0.0,Portugal
12793,335,2,545.48,272.74,21,295,36,0.0,Portugal
12794,53,2,860.41,430.205,43,592,45,0.0,Portugal
12795,19,1,430.48,430.48,14,68,0,0.0,Portugal
12797,360,3,194.18,64.72666666666667,13,79,5,0.23529411764705882,Portugal
12798,10,3,6977.04,2325.68,6,5256,160,0.0,Japan
12802,184,2,412.58,206.29,25,302,3,0.038461538461538464,Netherlands
12808,37,3,483.65000000000003,161.21666666666667,27,188,331,0.0,Portugal
12809,168,2,484.36,242.18,25,219,9,0.038461538461538464,Portugal
12811,261,3,514.85,171.61666666666667,27,230,23,0.0,Portugal
12812,45,1,229.64000000000001,229.64000000000001,15,164,0,0.0,Japan
12814,102,1,125.92,125.92,2,49,0,0.0,Poland
12815,148,2,1063.46,531.73,38,379,50,0.0,Poland
12816,96,2,572.2,286.1,27,128,80,0.0,Poland
12817,281,1,166.04,166.04,4,53,0,0.0,Austria
12818,178,2,1517.88,758.94,14,923,83,0.125,Austria
12820,3,4,942.34,235.585,55,722,323,0.0,United Kingdom
12821,214,1,92.72,92.72,6,70,0,0.0,United Kingdom
12822,71,3,918.98,306.32666666666665,41,548,16,0.02127659574468085,United Kingdom
12823,75,5,1759.5,351.9,1,230,221,0.0,United Kingdom
12824,60,1,397.12,397.12,25,232,0,0.0,United Kingdom
12826,3,8,1468.1200000000001,183.51500000000001,58,1054,362,0.031914893617021274,United Kingdom
12827,6,3,430.15000000000003,143.38333333333335,19,197,38,0.0,United Kingdom
12828,3,6,1018.71,169.785,46,494,127,0.0,United Kingdom
12829,322,3,253.05,84.35000000000001,9,375,37,0.08333333333333333,United Kingdom
12830,38,7,6748.4,964.0571428571428,14,9847,134,0.02564102564102564,United Kingdom
12831,262,1,215.05,215.05,9,135,0,0.0,United Kingdom
12832,32,2,383.03,191.515,27,195,65,0.0,United Kingdom
12833,145,1,417.38,417.38,24,156,0,0.0,United Kingdom
12834,283,1,312.38,312.38,18,110,0,0.0,United Kingdom
12836,59,4,2612.86,653.215,148,1064,252,0.0,United Kingdom
12837,173,1,134.1,134.1,12,24,0,0.0,United Kingdom
12838,34,2,683.13,341.565,115,359,340,0.0,United Kingdom
12839,3,16,5583.62,348.97625,96,3804,364,0.006329113924050633,United Kingdom
12840,144,6,2714.27,452.37833333333333,67,1505,82,0.02586206896551724,United Kingdom
12841,5,26,3876.4,149.09230769230768,230,2683,367,0.04328018223234624,United Kingdom
12842,70,2,1118.99,559.495,34,547,238,0.0,United Kingdom
12843,66,9,1680.76,186.7511111111111,69,753,198,0.046296296296296294,United Kingdom
12844,29,2,325.96000000000004,162.98000000000002,47,125,101,0.0,United Kingdom
12845,267,4,354.09,88.5225,26,204,22,0.0,United Kingdom
12847,22,1,871.54,871.54,72,909,0,0.0,United Kingdom
12849,31,2,1050.8899999999999,525.4449999999999,47,623,237,0.0,United Kingdom
12851,97,1,135.18,135.18,43,109,0,0.0,United Kingdom
12852,290,2,299.75,149.875,17,145,4,0.15,United Kingdom
12853,108,9,1881.7,209.07777777777778,66,782,208,0.07142857142857142,United Kingdom
12854,79,5,1289.15,257.83000000000004,97,622,240,0.043478260869565216,United Kingdom
12855,373,1,38.1,38.1,3,30,0,0.0,United Kingdom
12856,8,8,2162.68,270.335,155,1076,55,0.00946372239747634,United Kingdom
12857,211,2,1106.4,553.2,37,343,91,0.0,United Kingdom
12863,52,2,504.2,252.1,5,186,146,0.16666666666666666,United Kingdom
12864,138,1,147.12,147.12,3,216,0,0.0,United Kingdom
